real_start,real_end,diff ,label,round_start,round_end,circle_num
3.147,5.079,-0.068,3,3.15,5.1,15
7.976,10.008,0.032,3,8,10,
11.34,13.505,0.165,3,11.35,13.5,
14.804,17.136,0.332,3,14.8,17.15,
19.067,21.099,0.032,3,19.05,21.1,
22.165,24.13,-0.035,3,22.15,24.15,
27.128,29.592,0.464,3,27.15,29.6,
32.057,34.388,0.331,3,32.05,34.4,
36.187,38.319,0.132,3,36.2,38.3,
40.184,42.215,0.031,3,40.2,42.2,
45.046,47.078,0.032,3,45.05,47.1,
48.943,51.208,0.265,3,48.95,51.2,
53.007,55.038,0.031,3,53,55.05,
57.103,59.302,0.199,3,57.1,59.3,
61.134,63.232,0.098,3,61.15,63.25,
